Año,Azcapotzalco,Coyoacán,Gustavo A. Madero,Justo Sierra,La Magdalena Contreras,Milpa Alta,Casco Santo Tomás,Euzkadi,Oceania,Familia Juárez Maza,Herrerías,Olímpica,A Distancia
2019,435,"1,265","3,132",0,0,0,0,0,0,0,0,0,"2,117"
2020,886,"1,929","4,489",740,0,0,0,0,0,0,0,0,"5,384"
2021,"1,595","2,646","6,889","1,204",913,165,0,0,0,0,0,0,"12,017"
2022,"1,850","2,522","6,568","1,165","1,086",162,0,108,406,160,227,234,"21,497"
2023,"1,598","2,089","5,699","1,363","1,140",0,"3,419",384,405,420,336,156,"26,042"
2024,"1,830","2,950","7,491","2,021","1,369",0,"4,444",454,394,411,377,213,"32,416"
