CECATI,Especialidad,Clave,Año,Modalidad
73,Asistencia Ejecutiva,25-AE-2017A,2022,Presencial
73,Atención Integral a Personas Adultas Mayores,28-AIPAM-2022A,2023,Presencial
73,Atención Integral a Personas con Discapacidad,28-AIPD-2018A,2022,Presencial
73,Confección de Prendas de Vestir,13-CIR-2022A,2023,Mixta
73,Cuidados Cosmetológicos Faciales y Corporales,29-C-2019A,2022,Presencial
73,Elaboración de Prótesis y Apartología Dental,18-EPAD-2019A,2022,Presencial
73,Elaboración y Restauración de Artesanías de Madera,14-ERAM-2019A,2022,Presencial
73,Estilismo y Diseño de Imagen,29-EDI-2019A,2022,Presencial
73,Gestión y Venta de Servicios Turísticos,30-GVST-2018A,2022,Presencial
73,Hotelería,30-H-2018A,2022,Presencial
73,Mantenimiento a Equipos y Sistemas Electronicos,05-MESE-2021A,2022,Presencial
73,Soldadura y Pailería,19-SP-2019A,2022,Presencial
73,Soporte a Instalaciones Eléctricas y Motores Eléctricos,04-SIEME-2019A,2022,Presencial
73,Soporte Técnico a Equipos y Sistemas Computacionales,11-STESC-2019A,2022,Presencial
73,Uso de la Lengua Inglesa en Diversos Contextos,22-ULIDC-2019A,2022,Presencial
73,Asistencia Educativa Inicial y Preescolar,26-AE-2019A,2022,Presencial
73,Informática,23-O-2019A,2022,Mixta
73,Instalación y Mantenimiento de Sistemas Hidrosanitarios y de Gas,12-IHG-2018A,2022,Mixta
74,Administración,25-A-2019A,2022,Presencial
74,Aplicación de Masajes en SPA,29-MS-2019A,2022,Presencial
74,Aplicación de Normas y Procedimientos Contables y Fiscales,25-ANPCFEE-2017A,2022,Presencial
74,Artes Gráficas,24-AG-2019A,2022,Presencial
74,Asistencia Ejecutiva,25-AE-2017A,2022,Presencial
74,Confección de Prendas de Vestir,13-CIR-2022A,2023,Mixta
74,Cuidados Cosmetológicos Faciales y Corporales,29-C-2019A,2022,Presencial
74,Elaboración de Dibujos Arquitectónico e Industrial,12-DIA-2019A,2022,Presencial
74,Estilismo y Diseño de Imagen,29-EDI-2019A,2022,Presencial
74,Expresión Gráfica Digital,22-EGD-2017A,2022,Presencial
